NUMBER,TIMES PULLED,TYPE,SHINY,TEAM,NATION,NAME
1,0,SPECIAL,YES,ND,ND,CAMPIONATO SERIE A TIM
2,0,SPECIAL,YES,ND,ND,TROFEO SERIE A TIM
3,0,SPECIAL,YES,ND,ND,COPPA ITALIA FRECCIAROSSA
4,1,SPECIAL,YES,ND,ND,SUPERCOPPA FRECCIAROSSA
5,0,CREST,YES,ATALANTA,ND,ATALANTA CREST
6,1,PLAYER,NO,ATALANTA,ARGENTINA,JUAN MUSSO
7,0,PLAYER,NO,ATALANTA,ITALY,MARCO SPORTIELLO
8,0,PLAYER,NO,ATALANTA,ITALY,DAVIDE ZAPPACOSTA
9,2,PLAYER,NO,ATALANTA,ARGENTINA,JOSE PALOMINO
10,1,MANAGER,NO,ATALANTA,ITALY,GIAN PIERO GASPERINI
11,0,PLAYER,NO,ATALANTA,DENMARK,JOAKIM MAEHLE
12,0,SQUAD,NO,ATALANTA,ND,ATALANTA SQUAD
13,0,PLAYER,NO,ATALANTA,TURKEY,MERIH DEMIRAL
14,0,PLAYER,NO,ATALANTA,GERMANY,ROBIN GOSENS
15,0,PLAYER,NO,ATALANTA,ITALY,RAFAEL TOLOI
16,0,PLAYER,NO,ATALANTA,ITALY,GIUSEPPE PEZZELLA
17,0,PLAYER,NO,ATALANTA,ALBANIA,BERAT DJIMSITI
18,0,PLAYER,NO,ATALANTA,ITALY,MATTEO LOVATO
19,0,PLAYER,NO,ATALANTA,CROATIA,MARIO PASALIC
20,0,PLAYER,NO,ATALANTA,ITALY,MATTEO PESSINA
21,0,PLAYER,NO,ATALANTA,NETHERLANDS,MARTEN DE ROON
22,1,PLAYER,NO,ATALANTA,NETHERLANDS,TEUN KOOPMEINERS
23,0,PLAYER,NO,ATALANTA,UKRAINE,RUSLAN MALINOVSKYI
24,0,KIT,YES,ATALANTA,ND,ATALANTA KIT
25,0,PLAYER,NO,ATALANTA,RUSSIA,ALEKSEI MIRANCHUK
26,0,PLAYER,NO,ATALANTA,SWITZERLAND,REMO FREULER
27,0,PLAYER,NO,ATALANTA,SLOVENIA,JOSIP ILICIC
28,0,PLAYER,NO,ATALANTA,COLOMBIA,DUVÁN ZAPATA
29,0,PLAYER,NO,ATALANTA,COLOMBIA,LUIS MURIEL
30,1,PLAYER,NO,ATALANTA,ITALY,ROBERTO PICCOLI
31,0,CREST,YES,BOLOGNA,ND,BOLOGNA CREST
32,0,PLAYER,NO,BOLOGNA,POLAND,LUKASZ SKORUPSKI
33,0,PLAYER,NO,BOLOGNA,ITALY,FRANCESCO BARDI
34,1,PLAYER,NO,BOLOGNA,FRANCE,ADAMA SOUMAORO
35,0,PLAYER,NO,BOLOGNA,NETHERLANDS,MITCHELL DIJKS
36,0,MANAGER,NO,BOLOGNA,CROATIA,SINISA MIHAJLOVIC
37,0,PLAYER,NO,BOLOGNA,SCOTLAND,AARON HICKEY
38,0,SQUAD,NO,BOLOGNA,ND,BOLOGNA SQUAD
39,0,PLAYER,NO,BOLOGNA,SENEGAL,IBRAHIMA MBAYE
40,1,PLAYER,NO,BOLOGNA,BELGIUM,ARTHUR THEATE
41,1,PLAYER,NO,BOLOGNA,ITALY,KEVIN BONIFAZI
42,1,PLAYER,NO,BOLOGNA,ITALY,LORENZO DE SILVESTRI
43,0,PLAYER,NO,BOLOGNA,ITALY,ROBERTO SORIANO
44,0,PLAYER,NO,BOLOGNA,CHILE,GARY MEDEL
45,1,PLAYER,NO,BOLOGNA,SWEDEN,MATTIAS SVANBERG
46,0,PLAYER,NO,BOLOGNA,NETHERLANDS,JERDY SCHOUTEN
47,0,PLAYER,NO,BOLOGNA,NIGERIA,MICHAEL KINGSLEY
48,1,PLAYER,NO,BOLOGNA,ARGENTINA,NICOLAS DOMINGUEZ
49,0,PLAYER,NO,BOLOGNA,ITALY,EMANUEL VIGNATO
50,0,KIT,YES,BOLOGNA,ND,BOLOGNA KIT
51,0,PLAYER,NO,BOLOGNA,NETHERLANDS,SYDNEY VAN HOOIJDONK
52,1,PLAYER,NO,BOLOGNA,DENMARK,ANDREAS SKOV OLSEN
53,0,PLAYER,NO,BOLOGNA,ITALY,RICCARDO ORSOLINI
54,0,PLAYER,NO,BOLOGNA,AUSTRIA,MARKO ARNAUTOVIC
55,0,PLAYER,NO,BOLOGNA,GAMBIA,MUSA BARROW
56,0,PLAYER,NO,BOLOGNA,ITALY,NICOLA SANSONE
57,0,CREST,YES,CAGLIARI,ND,CAGLIARI CREST
58,0,PLAYER,NO,CAGLIARI,ITALY,ALESSIO CRAGNO
59,0,PLAYER,NO,CAGLIARI,SERBIA,BORIS RADUNOVIC
60,0,PLAYER,NO,CAGLIARI,POLAND,SEBASTIAN WALUKIEWICZ
61,1,PLAYER,NO,CAGLIARI,ITALY,GABRIELE ZAPPA
62,1,MANAGER,NO,CAGLIARI,ITALY,WALTER MAZZARRI
63,0,PLAYER,NO,CAGLIARI,ITALY,RAOUL BELLANOVA
64,0,SQUAD,NO,CAGLIARI,ND,CAGLIARI SQUAD
65,1,PLAYER,NO,CAGLIARI,ITALY,ANDREA CARBONI
66,2,PLAYER,NO,CAGLIARI,URUGUAY,MARTIN CACERES
67,0,PLAYER,NO,CAGLIARI,BRAZIL,DALBERT
68,0,PLAYER,NO,CAGLIARI,ITALY,LUCA CEPPITELLI
69,0,PLAYER,NO,CAGLIARI,GREECE,CHARALAMPOS LYKOGIANNIS
70,0,PLAYER,NO,CAGLIARI,URUGUAY,DIEGO GODIN
71,2,PLAYER,NO,CAGLIARI,NETHERLANDS,KEVIN STROOTMAN
72,0,PLAYER,NO,CAGLIARI,URUGUAY,CHRISTIAN OLIVA
73,0,PLAYER,NO,CAGLIARI,ITALY,ALESSANDRO DEIOLA
74,0,PLAYER,NO,CAGLIARI,URUGUAY,NAHITAN NANDEZ
75,0,PLAYER,NO,CAGLIARI,ROMANIA,RAZVAN MARIN
76,0,KIT,YES,CAGLIARI,ND,CAGLIARI KIT
77,0,PLAYER,NO,CAGLIARI,ITALY,ALBERTO GRASSI
78,0,PLAYER,NO,CAGLIARI,ITALY,LEONARDO PAVOLETTI
79,0,PLAYER,NO,CAGLIARI,BRAZIL,DIEGO FARIAS
80,0,PLAYER,NO,CAGLIARI,URUGUAY,GASTON PEREIRO
81,0,PLAYER,NO,CAGLIARI,SENEGAL,KEITA BALDE
82,0,PLAYER,NO,CAGLIARI,BRAZIL,JOAO PEDRO
83,1,CREST,YES,EMPOLI,ND,EMPOLI CREST
84,0,PLAYER,NO,EMPOLI,ITALY,GUGLIELMO VICARIO
85,0,PLAYER,NO,EMPOLI,ITALY,JACOPO FURLAN
86,1,PLAYER,NO,EMPOLI,ITALY,MATTIA VITI
87,0,PLAYER,NO,EMPOLI,ALBANIA,ARDIAN ISMAJLI
88,1,MANAGER,NO,EMPOLI,ITALY,AURELIO ANDREAZZOLI
89,0,PLAYER,NO,EMPOLI,SLOVENIA,PETAR STOJANOVIC
90,1,SQUAD,NO,EMPOLI,ND,EMPOLI SQUAD
91,0,PLAYER,NO,EMPOLI,ITALY,SIMONE ROMAGNOLI
92,0,PLAYER,NO,EMPOLI,ITALY,RICCARDO MARCHIZZA
93,1,PLAYER,NO,EMPOLI,ITALY,SEBASTIANO LUPERTO
94,1,PLAYER,NO,EMPOLI,ITALY,LORENZO TONELLI
95,1,PLAYER,NO,EMPOLI,POLAND,SZYMON ZURKOWSKI
96,0,PLAYER,NO,EMPOLI,ITALY,SAMUELE RICCI
97,0,PLAYER,NO,EMPOLI,ALBANIA,KRISTJAN ASLLANI
98,0,PLAYER,NO,EMPOLI,ITALY,FILIPPO BANDINELLI
99,0,PLAYER,NO,EMPOLI,ALBANIA,NEDIM BAJRAMI
100,0,PLAYER,NO,EMPOLI,SWITZERLAND,NICOLAS HAAS
101,0,PLAYER,NO,EMPOLI,SLOVENIA,LEO STULAC
102,0,KIT,YES,EMPOLI,ND,EMPOLI KIT
103,0,PLAYER,NO,EMPOLI,SCOTLAND,LIAM HENDERSON
104,3,PLAYER,NO,EMPOLI,ITALY,LEONARDO MANCUSO
105,0,PLAYER,NO,EMPOLI,ITALY,ANDREA PINAMONTI
106,0,PLAYER,NO,EMPOLI,ITALY,PATRICK CUTRONE
107,0,PLAYER,NO,EMPOLI,ITALY,ANDREA LA MANTIA
108,1,PLAYER,NO,EMPOLI,ITALY,FEDERICO DI FRANCESCO
109,1,CREST,YES,FIORENTINA,ND,FIORENTINA CREST
110,0,PLAYER,NO,FIORENTINA,POLAND,BARTLOMIEJ DRAGOWSKI
111,0,PLAYER,NO,FIORENTINA,ITALY,PIETRO TERRACCIANO
112,1,PLAYER,NO,FIORENTINA,ARGENTINA,LUCAS MARTINEZ QUARTA
113,0,PLAYER,NO,FIORENTINA,ITALY,LORENZO VENUTI
114,0,MANAGER,NO,FIORENTINA,ITALY,VINCENZO ITALIANO
115,0,PLAYER,NO,FIORENTINA,ITALY,CRISTIANO BIRAGHI
116,0,SQUAD,NO,FIORENTINA,ND,FIORENTINA SQUAD
117,2,PLAYER,NO,FIORENTINA,BRAZIL,IGOR
118,0,PLAYER,NO,FIORENTINA,SPAIN,ALVARO ODRIOZOLA
119,1,PLAYER,NO,FIORENTINA,SERBIA,MATIJA NASTASIC
120,0,PLAYER,NO,FIORENTINA,SERBIA,NIKOLA MILENKOVIC
121,2,PLAYER,NO,FIORENTINA,ITALY,RICCARDO SAPONARA
122,0,PLAYER,NO,FIORENTINA,URUGUAY,LUCAS TORREIRA
123,0,PLAYER,NO,FIORENTINA,ITALY,MARCO BENASSI
124,1,PLAYER,NO,FIORENTINA,MOROCCO,SOFYAN AMRABAT
125,0,PLAYER,NO,FIORENTINA,GHANA,ALFRED DUNCAN
126,0,PLAYER,NO,FIORENTINA,ITALY,GIACOMO BONAVENTURA
127,0,PLAYER,NO,FIORENTINA,ITALY,GAETANO CASTROVILLI
128,0,KIT,YES,FIORENTINA,ND,FIORENTINA KIT
129,0,PLAYER,NO,FIORENTINA,MOROCCO,YOUSSEF MALEH
130,0,PLAYER,NO,FIORENTINA,CHILE,ERICK PULGAR
131,1,PLAYER,NO,FIORENTINA,SERBIA,DUSAN VLAHOVIC
132,0,PLAYER,NO,FIORENTINA,SPAIN,JOSE CALLEJON
133,1,PLAYER,NO,FIORENTINA,ARGENTINA,NICO GONZALEZ
134,0,PLAYER,NO,FIORENTINA,ITALY,RICCARDO SOTTIL
135,0,CREST,YES,GENOA,ND,GENOA CREST
136,1,PLAYER,NO,GENOA,ITALY,SALVATORE SIRIGU
137,0,PLAYER,NO,GENOA,ITALY,FEDERICO MARCHETTI
138,0,PLAYER,NO,GENOA,BELGIUM,ZINHO VANHEUSDEN
139,0,PLAYER,NO,GENOA,ITALY,STEFANO SABELLI
140,0,MANAGER,NO,GENOA,UKRAINE,ANDRIY SHEVCHENKO
141,0,PLAYER,NO,GENOA,ITALY,MATTIA BANI
142,0,SQUAD,NO,GENOA,ND,GENOA SQUAD
143,0,PLAYER,NO,GENOA,ITALY,DAVIDE BIRASCHI
144,0,PLAYER,NO,GENOA,ITALY,ANDREA CAMBIASO
145,0,PLAYER,NO,GENOA,SERBIA,NIKOLA MAKSIMOVIC
146,1,PLAYER,NO,GENOA,ITALY,DOMENICO CRISCITO
147,0,PLAYER,NO,GENOA,SWITZERLAND,VALON BEHRAMI
148,0,PLAYER,NO,GENOA,FRANCE,ABDOULAYE TOURÉ
149,0,PLAYER,NO,GENOA,CROATIA,MILAN BADELJ
150,0,PLAYER,NO,GENOA,ITALY,STEFANO STURARO
151,1,PLAYER,NO,GENOA,ALGERIA,MOHAMED FARES
152,0,PLAYER,NO,GENOA,BRAZIL,HERNANI
153,1,PLAYER,NO,GENOA,ITALY,NICOLO ROVELLA
154,0,KIT,YES,GENOA,ND,GENOA KIT
155,0,PLAYER,NO,GENOA,ITALY,PAOLO GHIGLIONE
156,1,PLAYER,NO,GENOA,NORTH MACEDONIA,GORAN PANDEV
157,0,PLAYER,NO,GENOA,ITALY,MATTIA DESTRO
158,0,PLAYER,NO,GENOA,ECUADOR,FELIPE CAICEDO
159,0,PLAYER,NO,GENOA,GHANA,CALEB EKUBAN
160,1,PLAYER,NO,GENOA,SIERRA LEONE,YAYAH KALLON
161,1,CREST,YES,HELLAS VERONA,ND,HELLAS VERONA CREST
162,1,PLAYER,NO,HELLAS VERONA,ITALY,LORENZO MONTIPO
163,0,PLAYER,NO,HELLAS VERONA,CROATIA,IVOR PANDUR
164,1,PLAYER,NO,HELLAS VERONA,CROATIA,BOSKO SUTALO
165,0,PLAYER,NO,HELLAS VERONA,ITALY,GIANGIACOMO MAGNANI
166,0,MANAGER,NO,HELLAS VERONA,CROATIA,IGOR TUDOR
167,0,PLAYER,NO,HELLAS VERONA,ITALY,NICOLO CASALE
168,0,SQUAD,NO,HELLAS VERONA,ND,HELLAS VERONA SQUAD
169,0,PLAYER,NO,HELLAS VERONA,TURKEY,MERT ÇETIN
170,0,PLAYER,NO,HELLAS VERONA,ITALY,FEDERICO CECCHERINI
171,0,PLAYER,NO,HELLAS VERONA,ITALY,DAVIDE FARAONI
172,1,PLAYER,NO,HELLAS VERONA,POLAND,PAWEL DAWIDOWICZ
173,0,PLAYER,NO,HELLAS VERONA,GERMANY,KORAY GUNTER
174,1,PLAYER,NO,HELLAS VERONA,CAMAROON,ADRIEN TAMEZE
175,0,PLAYER,NO,HELLAS VERONA,SERBIA,IVAN ILIC
176,0,PLAYER,NO,HELLAS VERONA,CZECH REPUBLIC,ANTONIN BARAK
177,1,PLAYER,NO,HELLAS VERONA,PORTUGAL,MIGUEL VELOSO
178,0,PLAYER,NO,HELLAS VERONA,SERBIA,DARKO LAZOVIC
179,0,PLAYER,NO,HELLAS VERONA,ITALY,DANIEL BESSA
180,1,KIT,YES,HELLAS VERONA,ND,HELLAS VERONA KIT
181,0,PLAYER,NO,HELLAS VERONA,CAMAROON,MARTIN HONGLA
182,0,PLAYER,NO,HELLAS VERONA,ITALY,MATTEO CANCELLIERI
183,0,PLAYER,NO,HELLAS VERONA,ARGENTINA,GIOVANNI SIMEONE
184,1,PLAYER,NO,HELLAS VERONA,ITALY,KEVIN LASAGNA
185,0,PLAYER,NO,HELLAS VERONA,CROATIA,NIKOLA KALINIC
186,0,PLAYER,NO,HELLAS VERONA,ITALY,GIANLUCA CAPRARI
187,0,CREST,YES,INTER,ND,INTER CREST
188,0,PLAYER,NO,INTER,SLOVENIA,SAMIR HANDANOVIC
189,1,PLAYER,NO,INTER,ROMANIA,IONUT RADU
190,0,PLAYER,NO,INTER,SLOVAKIA,MILAN SKRINIAR
191,0,PLAYER,NO,INTER,ITALY,DANILO D’AMBROSIO
192,0,MANAGER,NO,INTER,ITALY,SIMONE INZAGHI
193,0,PLAYER,NO,INTER,ITALY,ALESSANDRO BASTONI
194,1,SQUAD,NO,INTER,ND,INTER SQUAD
195,0,PLAYER,NO,INTER,ITALY,MATTEO DARMIAN
196,0,PLAYER,NO,INTER,NETHERLANDS,STEFAN DE VRIJ
197,1,PLAYER,NO,INTER,ITALY,ANDREA RANOCCHIA
198,0,PLAYER,NO,INTER,ITALY,FEDERICO DIMARCO
199,0,PLAYER,NO,INTER,ITALY,NICOLO BARELLA
200,1,PLAYER,NO,INTER,CHILE,ARTURO VIDAL
201,1,PLAYER,NO,INTER,TURKEY,HAKAN CALHANOGLU
202,0,PLAYER,NO,INTER,CROATIA,MARCELO BROZOVIC
203,0,PLAYER,NO,INTER,NETHERLANDS,DENZEL DUMFRIES
204,0,PLAYER,NO,INTER,ITALY,ROBERTO GAGLIARDINI
205,0,PLAYER,NO,INTER,CROATIA,IVAN PERISIC
206,1,KIT,YES,INTER,ND,INTER KIT
207,0,PLAYER,NO,INTER,ITALY,STEFANO SENSI
208,0,PLAYER,NO,INTER,URUGUAY,MATIAS VECINO
209,0,PLAYER,NO,INTER,CHILE,ALEXIS SANCHEZ
210,0,PLAYER,NO,INTER,ARGENTINA,JOAQUIN CORREA
211,0,PLAYER,NO,INTER,BOSNIA AND HERZEGOVINA,EDIN DZEKO
212,0,PLAYER,NO,INTER,ARGENTINA,LAUTARO MARTINEZ
213,1,CREST,YES,JUVENTUS,ND,JUVENTUS CREST
214,1,PLAYER,NO,JUVENTUS,POLAND,WOJCIECH SZCZESNY
215,2,PLAYER,NO,JUVENTUS,ITALY,MATTIA PERIN
216,0,PLAYER,NO,JUVENTUS,ITALY,GIORGIO CHIELLINI
217,1,PLAYER,NO,JUVENTUS,BRAZIL,ALEX SANDRO
218,0,MANAGER,NO,JUVENTUS,ITALY,MASSIMILIANO ALLEGRI
219,1,PLAYER,NO,JUVENTUS,ITALY,LEONARDO BONUCCI
220,0,SQUAD,NO,JUVENTUS,ND,JUVENTUS SQUAD
221,0,PLAYER,NO,JUVENTUS,ITALY,MATTIA DE SCIGLIO
222,1,PLAYER,NO,JUVENTUS,COLOMBIA,JUAN CUADRADO
223,0,PLAYER,NO,JUVENTUS,BRAZIL,DANILO
224,0,PLAYER,NO,JUVENTUS,NETHERLANDS,MATTHIJS DE LIGT
225,1,PLAYER,NO,JUVENTUS,WALES,AARON RAMSEY
226,2,PLAYER,NO,JUVENTUS,URUGUAY,RODRIGO BENTANCUR
227,0,PLAYER,NO,JUVENTUS,BRAZIL,ARTHUR
228,1,PLAYER,NO,JUVENTUS,ITALY,FEDERICO BERNARDESCHI
229,1,PLAYER,NO,JUVENTUS,FRANCE,ADRIEN RABIOT
230,0,PLAYER,NO,JUVENTUS,ITALY,FEDERICO CHIESA
231,1,PLAYER,NO,JUVENTUS,SWEDEN,DEJAN KULUSEVSKI
232,0,KIT,YES,JUVENTUS,ND,JUVENTUS KIT
233,1,PLAYER,NO,JUVENTUS,ITALY,MANUEL LOCATELLI
234,0,PLAYER,NO,JUVENTUS,UNITED STATES,WESTON MCKENNIE
235,0,PLAYER,NO,JUVENTUS,BRAZIL,KAIO JORGE
236,1,PLAYER,NO,JUVENTUS,ARGENTINA,PAULO DYBALA
237,1,PLAYER,NO,JUVENTUS,ITALY,MOISE KEAN
238,1,PLAYER,NO,JUVENTUS,SPAIN,ALVARO MORATA
239,0,CREST,YES,LAZIO,ND,LAZIO CREST
240,1,PLAYER,NO,LAZIO,SPAIN,PEPE REINA
241,1,PLAYER,NO,LAZIO,ALGERIA,THOMAS STRAKOSHA
242,0,PLAYER,NO,LAZIO,ROMANIA,ȘTEFAN RADU
243,0,PLAYER,NO,LAZIO,MONTENEGRO,ADAM MARUSIC
244,0,MANAGER,NO,LAZIO,ITALY,MAURIZIO SARRI
245,0,PLAYER,NO,LAZIO,ITALY,FRANCESCO ACERBI
246,0,SQUAD,NO,LAZIO,ND,LAZIO SQUAD
247,0,PLAYER,NO,LAZIO,ALBANIA,ELSEID HYSAJ
248,1,PLAYER,NO,LAZIO,ITALY,MANUEL LAZZARI
249,0,PLAYER,NO,LAZIO,BRAZIL,LUIZ FELIPE
250,1,PLAYER,NO,LAZIO,SPAIN,PATRIC
251,0,PLAYER,NO,LAZIO,ITALY,LUCAS LEIVA
252,0,PLAYER,NO,LAZIO,ITALY,MATTIA ZACCAGNI
253,0,PLAYER,NO,LAZIO,SERBIA,SERGEJ MILINKOVIC-SAVIC
254,0,PLAYER,NO,LAZIO,SPAIN,LUIS ALBERTO
255,0,PLAYER,NO,LAZIO,IVORY COAST,JEAN-DANIEL AKPA-AKPRO
256,0,PLAYER,NO,LAZIO,CROATIA,TOMA BASIC
257,0,PLAYER,NO,LAZIO,BRAZIL,ANDRÉ ANDERSON
258,0,KIT,YES,LAZIO,ND,LAZIO KIT
259,0,PLAYER,NO,LAZIO,ITALY,DANILO CATALDI
260,1,PLAYER,NO,LAZIO,SPAIN,PEDRO RODREGUEZ
261,0,PLAYER,NO,LAZIO,SPAIN,RAUL MORO
262,2,PLAYER,NO,LAZIO,BRAZIL,FELIPE ANDERSON
263,0,PLAYER,NO,LAZIO,KOSOVO,VEDAT MURIQI
264,0,PLAYER,NO,LAZIO,ITALY,CIRO IMMOBILE
265,1,CREST,YES,MILAN,ND,MILAN CREST
266,1,PLAYER,NO,MILAN,FRANCE,MIKE MAIGNAN
267,0,PLAYER,NO,MILAN,ROMANIA,CIPRIAN TATARUSANU
268,0,PLAYER,NO,MILAN,ENGLAND,FIKAYO TOMORI
269,0,PLAYER,NO,MILAN,ITALY,ALESSIO ROMAGNOLI
270,0,MANAGER,NO,MILAN,ITALY,STEFANO PIOLI
271,0,PLAYER,NO,MILAN,ITALY,DAVIDE CALABRIA
272,2,SQUAD,NO,MILAN,ND,MILAN SQUAD
273,0,PLAYER,NO,MILAN,ITALY,ALESSANDRO FLORENZI
274,0,PLAYER,NO,MILAN,FRANCE,PIERRE KALULU
275,2,PLAYER,NO,MILAN,FRANCE,THEO HERNÁNDEZ
276,0,PLAYER,NO,MILAN,DENMARK,SIMON KJAER
277,1,PLAYER,NO,MILAN,ITALY,SANDRO TONALI
278,0,PLAYER,NO,MILAN,IVORY COAST,FRANCK KESSIE
279,0,PLAYER,NO,MILAN,FRANCE,TIEMOUE BAKAYOKO
280,0,PLAYER,NO,MILAN,ALGERIA,ISMAEL BENNACER
281,0,PLAYER,NO,MILAN,SPAIN,BRAHIM DIAZ
282,1,PLAYER,NO,MILAN,BRAZIL,JUNIOR MESSIAS
283,0,PLAYER,NO,MILAN,BELGIUM,ALEXIS SAELEMAEKERS
284,0,KIT,YES,MILAN,ND,MILAN KIT
285,0,PLAYER,NO,MILAN,SWEDEN,ZLATAN IBRAHIMOVIC
286,0,PLAYER,NO,MILAN,FRANCE,OLIVIER GIROUD
287,0,PLAYER,NO,MILAN,CROATIA,ANTE REBIC
288,0,PLAYER,NO,MILAN,ITALY,DANIEL MALDINI
289,0,PLAYER,NO,MILAN,PORTUGAL,RAFAEL LEAO
290,0,PLAYER,NO,MILAN,ITALY,PIETRO PELLEGRI
291,0,CREST,YES,NAPOLI,ND,NAPOLI CREST
292,0,PLAYER,NO,NAPOLI,COLOMBIA,DAVID OSPINA
293,0,PLAYER,NO,NAPOLI,ITALY,ALEX MERET
294,0,PLAYER,NO,NAPOLI,ALGERIA,FAOUZI GHOULAM
295,0,PLAYER,NO,NAPOLI,PORTUGAL,MARIO RUI
296,0,MANAGER,NO,NAPOLI,ITALY,LUCIANO SPALLETTI
297,1,PLAYER,NO,NAPOLI,ITALY,GIOVANNI DI LORENZO
